Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_01_23_42,0,0,81,7
2023_06_01_23_43,0,0,82,7
2023_06_01_23_43,0,0,82,7
2023_06_01_23_44,0,0,82,7
2023_06_01_23_44,0,0,81,7
2023_06_01_23_45,0,0,81,7
2023_06_01_23_45,0,0,82,7
2023_06_01_23_46,0,0,82,7
2023_06_01_23_46,0,0,82,7
2023_06_01_23_47,0,0,82,7
2023_06_01_23_47,0,0,81,8
2023_06_01_23_48,0,0,81,8
2023_06_01_23_48,0,0,81,8
2023_06_01_23_49,0,0,81,8
2023_06_01_23_49,0,0,81,8
2023_06_01_23_50,0,0,82,8
2023_06_01_23_50,0,0,81,8
2023_06_01_23_51,0,0,81,8
2023_06_01_23_51,0,0,82,9
2023_06_01_23_52,0,0,81,9
2023_06_01_23_52,0,0,81,9
2023_06_01_23_53,0,0,82,10
2023_06_01_23_53,0,0,81,10
2023_06_01_23_54,0,0,81,10
2023_06_01_23_54,0,0,82,10
2023_06_01_23_55,0,0,82,11
2023_06_01_23_55,0,0,82,11
2023_06_01_23_56,0,0,81,11
2023_06_01_23_56,0,0,82,12
2023_06_01_23_57,0,0,81,12
2023_06_01_23_57,0,0,81,12
2023_06_01_23_58,0,0,81,13
2023_06_01_23_58,0,0,82,13
2023_06_01_23_59,0,0,81,13
2023_06_01_23_59,0,0,82,13
2023_06_02_00_00,0,0,82,14
2023_06_02_00_00,0,0,82,14
2023_06_02_00_01,0,0,82,15
2023_06_02_00_01,0,0,81,15
2023_06_02_00_02,0,0,81,16
2023_06_02_00_02,0,0,81,16
2023_06_02_00_03,0,0,81,16
2023_06_02_00_03,0,0,81,16
2023_06_02_00_04,0,0,82,17
2023_06_02_00_04,0,0,81,17
2023_06_02_00_05,0,0,82,17
2023_06_02_00_05,0,0,82,18
2023_06_02_00_06,0,0,82,18
2023_06_02_00_06,0,0,81,18
2023_06_02_00_07,0,0,81,18
2023_06_02_00_07,0,0,81,17
2023_06_02_00_08,0,0,81,17
2023_06_02_00_08,0,0,81,17
2023_06_02_00_09,0,0,81,17
2023_06_02_00_09,0,0,82,17
2023_06_02_00_10,0,0,81,17
2023_06_02_00_10,0,0,81,18
2023_06_02_00_11,0,0,82,18
2023_06_02_00_11,0,0,82,18
2023_06_02_00_12,0,0,81,19
2023_06_02_00_12,0,0,81,20
